item_name,store_name,category,OOS_days,Avg_NS_Percentage,Avg_Margin_Percentage,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin
AULS498420-Coke Peach No Sugar 600ml,AULS.SYD201,beverage,7,0.12267511873198991,0.09980053748191091,1.4,5.855333333333332,3.1393333333333326,9.799999999999999,40.987333333333325,21.975333333333328
AULS507153-Nutriboost Vanilla 340ml,AULS.SYD201,beverage,7,0.04796320431626674,0.03127426600980151,0.6428571428571429,2.34,1.0157142857142856,4.5,16.38,7.109999999999999
AULS507153-Nutriboost Vanilla 340ml,AULS.SYD203,beverage,7,0.06612487569564576,0.04293009397113017,1.5,5.456666666666666,2.3666666666666663,10.5,38.196666666666665,16.566666666666663
AULS507152-Nutriboost Chocolate 340ml,AULS.SYD203,beverage,7,0.1383317194632729,0.08986864628423334,2.1,7.642,3.316,14.700000000000001,53.494,23.212
AULS507153-Nutriboost Vanilla 340ml,AULS.SYD208,beverage,7,0.13559101631629958,0.08955794548507888,0.5,1.8199999999999998,0.7899999999999998,3.5,12.739999999999998,5.5299999999999985
AULS507152-Nutriboost Chocolate 340ml,AULS.SYD208,beverage,7,0.283406896990787,0.18730905169059944,1.2105263157894737,4.404736842105263,1.9131578947368417,8.473684210526315,30.83315789473684,13.392105263157893
AULS460424-Glaceau Smartwater Pet 700ml,AULS.SYD208,beverage,7,0.3174062427404285,0.33535276709832773,1.5555555555555556,9.719999999999999,6.748888888888889,10.88888888888889,68.03999999999999,47.242222222222225
AULS498420-Coke Peach No Sugar 600ml,AULS.SYD215,beverage,7,0.10904314284556356,0.10071848914618713,0.42857142857142855,2.1342857142857143,1.302857142857143,3.0,14.940000000000001,9.120000000000001
AULS399153-Red Bull Can 473ml,AULS.SYD215,beverage,7,0.6926885786009389,0.5978869765716712,1.6363636363636365,9.992727272727274,5.416363636363637,11.454545454545455,69.94909090909091,37.91454545454546
AULS430245-Barist. Bros  Ice Coffee 500ml,AULS.SYD215,beverage,7,0.24717081439064345,0.2129083324092521,0.7857142857142857,3.3942857142857146,1.8228571428571432,5.5,23.76,12.760000000000002
AULS435564-Mother S/free 500ml,AULS.SYD215,beverage,7,0.152669935894838,0.15524565904841292,0.3125,1.661875,1.05125,2.1875,11.633125,7.358750000000001
AULS474956-Keri Apple Juice 300ml..,AULS.SYD215,beverage,7,0.25003158770534994,0.2560406238887126,1.5714285714285714,6.867142857142857,4.384285714285714,11.0,48.07,30.69
AULS495353-Mt Franklin Still Pineappl Mnt,AULS.SYD215,beverage,7,0.04510485926187281,0.05322708310231303,1.0,4.73,3.4800000000000004,7.0,33.11,24.360000000000003
AULS505742-V Pure 330ml,AULS.SYD215,beverage,7,0.24640794150672163,0.15570451321308806,1.1,4.682,1.811,7.700000000000001,32.774,12.677
AULS507152-Nutriboost Chocolate 340ml,AULS.SYD301,beverage,7,0.24254498294595506,0.1654360634395763,1.5,5.4585,2.3684999999999996,10.5,38.2095,16.579499999999996
