item_name,store_name,category,OOS_days,date_list,OOS_lastDay,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin
NZLS184184-Salted Caramel Snackaballs 70g,NZLS.AKL102,beverage,4,"[Timestamp('2019-11-27 00:00:00'), Timestamp('2019-11-28 00:00:00'), Timestamp('2019-11-29 00:00:00'), Timestamp('2019-11-30 00:00:00')]",1,1.565217391304348,5.502158410646569,2.9979250637983257,6.260869565217392,22.008633642586275,11.991700255193303
NZLS134982-Whitt 50% Dark Chunks 50g,NZLS.AKL103,beverage,7,"[Timestamp('2019-11-24 00:00:00'), Timestamp('2019-11-25 00:00:00'), Timestamp('2019-11-26 00:00:00'), Timestamp('2019-11-27 00:00:00'), Timestamp('2019-11-28 00:00:00'), Timestamp('2019-11-29 00:00:00'), Timestamp('2019-11-30 00:00:00')]",1,1.1428571428571428,3.280829611054515,2.2464279183972,8.0,22.965807277381607,15.7249954287804
NZLS162273-Haribo Mega Roulettes 45g,NZLS.AKL103,beverage,4,"[Timestamp('2019-11-27 00:00:00'), Timestamp('2019-11-28 00:00:00'), Timestamp('2019-11-29 00:00:00'), Timestamp('2019-11-30 00:00:00')]",1,4.730769230769231,15.008017215916283,12.28321870121102,18.923076923076923,60.03206886366513,49.13287480484408
NZLS178612-Whitt Dark 82% Madagascar 100g,NZLS.AKL103,beverage,2,"[Timestamp('2019-11-27 00:00:00'), Timestamp('2019-11-28 00:00:00')]",0,0.2962962962962963,1.8061396558379552,1.050703290600895,0.5925925925925926,3.6122793116759104,2.10140658120179
NZLS184569-Whitt Flat White Block 100g,NZLS.AKL103,beverage,6,"[Timestamp('2019-11-25 00:00:00'), Timestamp('2019-11-26 00:00:00'), Timestamp('2019-11-27 00:00:00'), Timestamp('2019-11-28 00:00:00'), Timestamp('2019-11-29 00:00:00'), Timestamp('2019-11-30 00:00:00')]",1,0.3333333333333333,1.9465776802584263,1.126805631742549,2.0,11.679466081550558,6.760833790455294
NZLS186310-CAD Marshmallow Santa 35g,NZLS.AKL103,beverage,6,"[Timestamp('2019-11-24 00:00:00'), Timestamp('2019-11-25 00:00:00'), Timestamp('2019-11-26 00:00:00'), Timestamp('2019-11-27 00:00:00'), Timestamp('2019-11-28 00:00:00'), Timestamp('2019-11-29 00:00:00')]",0,3.7142857142857144,6.452820660171181,3.5664219975794307,22.285714285714285,38.716923961027085,21.398531985476584
NZLS167918-Pringles Tex BBQ 134g,NZLS.AKL103,beverage,7,"[Timestamp('2019-11-24 00:00:00'), Timestamp('2019-11-25 00:00:00'), Timestamp('2019-11-26 00:00:00'), Timestamp('2019-11-27 00:00:00'), Timestamp('2019-11-28 00:00:00'), Timestamp('2019-11-29 00:00:00'), Timestamp('2019-11-30 00:00:00')]",1,0.7,4.460596087036022,2.463887365149021,4.8999999999999995,31.22417260925215,17.247211556043148
NZLS171874-DL BB'S Choc Orange Balls180G,NZLS.AKL103,beverage,7,"[Timestamp('2019-11-24 00:00:00'), Timestamp('2019-11-25 00:00:00'), Timestamp('2019-11-26 00:00:00'), Timestamp('2019-11-27 00:00:00'), Timestamp('2019-11-28 00:00:00'), Timestamp('2019-11-29 00:00:00'), Timestamp('2019-11-30 00:00:00')]",1,0.0,0.0,0.0,0.0,0.0,0.0
NZLS172325-Whitt Ital Pied Hazeln 100g,NZLS.AKL103,beverage,7,"[Timestamp('2019-11-24 00:00:00'), Timestamp('2019-11-25 00:00:00'), Timestamp('2019-11-26 00:00:00'), Timestamp('2019-11-27 00:00:00'), Timestamp('2019-11-28 00:00:00'), Timestamp('2019-11-29 00:00:00'), Timestamp('2019-11-30 00:00:00')]",1,0.15384615384615385,0.9845703756839246,0.6062140455996737,1.076923076923077,6.891992629787472,4.243498319197716
NZLS112314-RJ's Oddfellos Mints 200g,NZLS.AKL104,beverage,2,"[Timestamp('2019-11-26 00:00:00'), Timestamp('2019-11-27 00:00:00')]",0,0.14285714285714285,0.6491131833973302,0.39932868374996733,0.2857142857142857,1.2982263667946603,0.7986573674999347
NZLS157193-JCs Tropical Summer Mix 200g,NZLS.AKL104,beverage,2,"[Timestamp('2019-11-28 00:00:00'), Timestamp('2019-11-29 00:00:00')]",0,0.37037037037037035,2.5294081794356065,1.615164259157676,0.7407407407407407,5.058816358871213,3.230328518315352
NZLS170181-Arnott's Bites Mint Slice,NZLS.AKL104,beverage,2,"[Timestamp('2019-11-24 00:00:00'), Timestamp('2019-11-25 00:00:00')]",0,0.16666666666666666,1.1096635582373375,0.6220668007557748,0.3333333333333333,2.219327116474675,1.2441336015115496
NZLS170994-Milk Choc Akl Hrbour by Night,NZLS.AKL104,beverage,7,"[Timestamp('2019-11-24 00:00:00'), Timestamp('2019-11-25 00:00:00'), Timestamp('2019-11-26 00:00:00'), Timestamp('2019-11-27 00:00:00'), Timestamp('2019-11-28 00:00:00'), Timestamp('2019-11-29 00:00:00'), Timestamp('2019-11-30 00:00:00')]",1,0.0,0.0,0.0,0.0,0.0,0.0
NZLS180790-Cookie+Protein Peanut/B 113G,NZLS.AKL104,beverage,1,[Timestamp('2019-11-30 00:00:00')],1,0.034482758620689655,0.1503773620595078,0.1503773620595078,0.034482758620689655,0.1503773620595078,0.1503773620595078
NZLS167280-ME Cash Roast Light Salt 150g,NZLS.AKL112,beverage,2,"[Timestamp('2019-11-26 00:00:00'), Timestamp('2019-11-27 00:00:00')]",0,0.5185185185185185,3.8956949269620686,2.3550246168640747,1.037037037037037,7.791389853924137,4.710049233728149
NZLS178794-Whitt Hokey Pokey Block 250g,NZLS.AKL112,beverage,2,"[Timestamp('2019-11-29 00:00:00'), Timestamp('2019-11-30 00:00:00')]",1,2.6296296296296298,16.60571707198147,7.61429742047771,5.2592592592592595,33.21143414396294,15.22859484095542
NZLS182394-ME OTG Nut & Seed Natural 50g,NZLS.AKL112,beverage,5,"[Timestamp('2019-11-26 00:00:00'), Timestamp('2019-11-27 00:00:00'), Timestamp('2019-11-28 00:00:00'), Timestamp('2019-11-29 00:00:00'), Timestamp('2019-11-30 00:00:00')]",1,0.16,0.38288535381239713,0.24538306820259645,0.8,1.9144267690619856,1.2269153410129823
NZLS172629-M&M Dispenser Rockstar 45g,NZLS.AKL112,beverage,1,[Timestamp('2019-11-30 00:00:00')],1,0.037037037037037035,0.48285623345049206,0.23397872181927773,0.037037037037037035,0.48285623345049206,0.23397872181927773
NZLS143419-Jack Links Beef Jerky Sweet n,NZLS.AKL201,beverage,7,"[Timestamp('2019-11-24 00:00:00'), Timestamp('2019-11-25 00:00:00'), Timestamp('2019-11-26 00:00:00'), Timestamp('2019-11-27 00:00:00'), Timestamp('2019-11-28 00:00:00'), Timestamp('2019-11-29 00:00:00'), Timestamp('2019-11-30 00:00:00')]",1,0.23809523809523808,1.0814199514144656,0.6678334160506404,1.6666666666666665,7.569939659901259,4.674833912354483
NZLS184261-CT Bumper Bar Triple Choc 75g,NZLS.AKL201,beverage,2,"[Timestamp('2019-11-24 00:00:00'), Timestamp('2019-11-25 00:00:00')]",0,0.2727272727272727,0.9732542096776872,0.5693246230821655,0.5454545454545454,1.9465084193553743,1.138649246164331
NZLS184569-Whitt Flat White Block 100g,NZLS.AKL201,beverage,6,"[Timestamp('2019-11-25 00:00:00'), Timestamp('2019-11-26 00:00:00'), Timestamp('2019-11-27 00:00:00'), Timestamp('2019-11-28 00:00:00'), Timestamp('2019-11-29 00:00:00'), Timestamp('2019-11-30 00:00:00')]",1,0.7916666666666666,3.776589260681417,1.8296306454562077,4.75,22.6595355640885,10.977783872737247
NZLS186313-Toblerone Pouch 120g,NZLS.AKL201,beverage,1,[Timestamp('2019-11-30 00:00:00')],1,0.8214285714285714,9.794817543034766,5.439098294282057,0.8214285714285714,9.794817543034766,5.439098294282057
NZLS108031-SB grainwave sourcrem chiv 40g,NZLS.AKL201,beverage,2,"[Timestamp('2019-11-26 00:00:00'), Timestamp('2019-11-27 00:00:00')]",0,2.0,3.585190602926935,1.9950833993620611,4.0,7.17038120585387,3.9901667987241223
NZLS103317-CT Triple Choc Cookie 85g,NZLS.AKL202,beverage,1,[Timestamp('2019-11-25 00:00:00')],0,2.5714285714285716,8.146239845362171,4.337760886032964,2.5714285714285716,8.146239845362171,4.337760886032964
NZLS144109-DC Russian Fudge 200g,NZLS.AKL202,beverage,7,"[Timestamp('2019-11-24 00:00:00'), Timestamp('2019-11-25 00:00:00'), Timestamp('2019-11-26 00:00:00'), Timestamp('2019-11-27 00:00:00'), Timestamp('2019-11-28 00:00:00'), Timestamp('2019-11-29 00:00:00'), Timestamp('2019-11-30 00:00:00')]",1,0.11764705882352941,0.9346799608488485,0.6120056360448731,0.8235294117647058,6.54275972594194,4.284039452314111
