SKU,Store,category,OOS_days_x,date_list,OOS_lastDay_x,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin,Category_x,Category_y,State,City,BU,Concept,Brand,OOS_days_y,Date_list,OOS_lastDay_y,Avg Loss Sale qty,Avg Loss Net Sales,Avg Loss Margin,Total Loss Sale qty,Total Loss Net Sales,Total Loss Margin
AULS504744-Shadow Captain (Revenger 2),AULS.TSV101,,3,"['2019-11-28', '2019-11-29', '2019-11-30']",1,0.11538461595773697,2.516538381576538,1.3107692003250122,0.3461538478732109,7.549615144729614,3.9323076009750366,03-Books,03-Books,QLD,Townsville,BNC,Newslink,HODD-HODD,3.0,"['2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.115384615,2.5165384619999998,1.3107692309999999,0.346153846,7.549615385,3.9323076919999997
AULS504839-Never Touch the Dinosaurs,AULS.OOL101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0714285746216774,0.9735714197158813,0.608571469783783,0.5000000223517418,6.814999938011169,4.260000288486481,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,SCHO-Scholastic Australia Pty Ltd,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.071428571,0.973571429,0.6085714289999999,0.5,6.815,4.26
AULS506544-Tom Gates #17: Spectacular Sch,AULS.OOL104,,1,['2019-11-24'],0,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,03-Books,QLD,Gold Coast,Specialty,Discover,SCHO-Scholastic Australia Pty Ltd,1.0,['2019-11-24'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS486200-Men Without Women,AULS.OOL101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,RAND-Random House Publishing,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS500265-Deathless,AULS.OOL101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.05263157933950424,1.0042104721069336,0.5121052265167236,0.3684210553765297,7.029473304748535,3.5847365856170654,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,HARP-Harper Collins,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.052631579000000005,1.004210526,0.5121052629999999,0.36842105299999994,7.029473684,3.584736842
AULS502599-Matriach,AULS.OOL101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.15789473056793213,3.012631416320801,1.5789474248886108,1.105263113975525,21.088419914245605,11.052631974220276,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,SIMS-SIMS,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.15789473699999998,3.012631579,1.5789,1.105263158,21.08842105,11.0523
AULS504752-Baby Youre Remarkable,AULS.OOL101,,4,"['2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.03846153989434242,1.1884615421295166,0.6115384697914124,0.1538461595773697,4.753846168518066,2.4461538791656494,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,HODD-HODD,4.0,"['2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.038461537999999997,1.1884615379999999,0.6115384620000001,0.153846154,4.753846154,2.446153846
AULS501195GRTRE0000-Zip Growsuit,AULS.OOL101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,09-Apparel,QLD,Gold Coast,BNC,Newslink,None,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS502470-Short History of Europe,AULS.OOL101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,PENG-Pengiun Books,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS4555841-QLD Reds Original,AULS.TSV101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,09-Apparel,QLD,Townsville,BNC,Newslink,None,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS46973166514-GC2018-WOMENS HD LOGO TEE,AULS.TSV101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,09-Apparel,QLD,Townsville,BNC,Newslink,None,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS385118740L-LADIES BASIC CREW NECK,AULS.OOL104,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,09-Apparel,QLD,Gold Coast,Specialty,Discover,None,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS504915-Political Tribes,AULS.OOL101,,3,"['2019-11-28', '2019-11-29', '2019-11-30']",1,0.03703703731298447,0.8077777624130249,0.4207407236099243,0.1111111119389534,2.4233332872390747,1.262222170829773,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,BLOM-Bloomsbury,3.0,"['2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.037037037,0.807777778,0.42074074100000003,0.111111111,2.423333333,1.2622222220000001
AULS452736-Rosie Effect,AULS.OOL101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,PENG-Pengiun Books,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
